Rang,Unternehmen,Sitz,Kanton,Branche,Umsatz in Mio. Schweizer Franken,Umsatz in Mio. Euro
414,Kinderspital Zürich,Zürich,ZH,Gesundheitswesen,303,323
415,Poenina,Zürich,ZH,Haustechnik/Gebäudeautomation,302,322
416,Alfred Müller AG,Baar,ZG,Immobilien/GU/Dienstleistungen,300,320
417,Starrag Group Holding,Rorschacherberg,SG,Maschinenindustrie,297,317
418,PSP Swiss Property,Zug,ZG,Immobilien/GU/Dienstleistungen,296,316
419,Scania Schweiz,Kloten,ZH,Automobilhandel/-import,290,309
420,Offix Holding,Freudwil,ZH,Computer/Informatik,289,308
421,Infosys Consulting Holding,Kloten,ZH,Computer/Informatik,288,307
422,TX Markets,Zürich,ZH,Computer/Informatik,288,307
423,Tata Consultancy Services Switzerland,Zürich,ZH,Computer/Informatik,287,306
424,Müller Schweiz,Oberentfelden,AG,Drogerien/Parfümerien/Apotheken,285,304
425,Reinhard Fromm Holding,Cham,ZG,Verpackung,283,302
426,Thermoplan,Weggis,LU,Elektroapparate/Haushaltgeräte,281,300
427,Ascom Holding,Baar,ZG,Elektronik/Elektrotechnik,281,300
428,Skyguide,Genf,GE,Dienstleistungen,281,300
429,AMAC Aerospace Switzerland,Basel,BS,Dienstleistungen,280,299
430,Loomis Schweiz,Kloten,ZH,Gütertransporte/Terminals,280,299
431,BLS Cargo,Bern,BE,Gütertransporte/Terminals,277,295
432,EWL Energie Wasser Luzern Holding,Luzern,LU,Energieversorgung/-verteilung,276,294
433,Tarchini FoxTown,Manno,TI,Detailhandel,275,293
434,Montres Breguet,L'Abbaye,VD,Uhrenindustrie,270,288
435,Saviva,Regensdorf,ZH,Grosshandel (Food),268,286
436,Reishauer,Wallisellen,ZH,Maschinenindustrie,266,284
437,Migros Online,Zürich,ZH,Online Handel,266,284
438,Quickline,Nidau,BE,Computer/Informatik,265,283
439,Mobimo Holding,Luzern,LU,Immobilien/GU/Dienstleistungen,265,283
440,Schweizer Zucker,Frauenfeld,TG,Nahrungsmittel,263,281
441,Zweifel Chips + Snacks,Spreitenbach,AG,Nahrungsmittel,263,281
442,APG SGA,Genf,GE,Aussenwerbung,262,279
443,Bauwerk Group,St. Margrethen,SG,Bauzulieferer/Bauelemente,261,278
